Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
TOTAL,2020,37,,-,2,,,-,7,,235,,439,,7599,,12947,,,TOTAL,20203770,
NON-US RESIDENTS,2020,37,,-,0,,,-,1,,,-,1,,,-,3,,,NON-US RESIDENTS,20203769,
WEST SOUTH CENTRAL,2020,37,,-,0,,,-,,-,,-,3,,8,,19,,,WEST SOUTH CENTRAL,20203743,
NEBRASKA,2020,37,,-,0,,,-,,-,1,,2,,10,,6,,NEBRASKA,,20203725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,37,,-,0,,,-,,-,,-,1,,6,,2,,,EAST SOUTH CENTRAL,20203738,
NORTH DAKOTA,2020,37,,-,0,,,-,,-,,-,1,,2,,2,,NORTH DAKOTA,,20203726,POINT (-100.46931 47.446305)
ILLINOIS,2020,37,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20203715,POINT (-89.148632 40.124144)
IOWA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20203721,POINT (-93.500061 42.074659)
TEXAS,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20203747,POINT (-99.317341 31.447238)
ALASKA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20203758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20203730,POINT (-77.016275 38.904785)
WASHINGTON,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20203762,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,37,,-,0,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20203702,
RHODE ISLAND,2020,37,,-,0,,,-,,-,,-,0,,,-,1,,RHODE ISLAND,,20203707,POINT (-71.534637 41.572574)
OREGON,2020,37,,-,0,,,-,,-,,-,2,,6,,3,,OREGON,,20203761,POINT (-120.605279 43.940449)
DELAWARE,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20203729,POINT (-75.452394 38.994926)
ALABAMA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20203739,POINT (-86.844516 32.756889)
KANSAS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20203722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20203734,POINT (-79.130883 35.52603)
GUAM,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20203766,POINT (144.653198 13.3532)
NEW JERSEY,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20203710,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2020,37,,-,0,,,-,3,,,-,5,,31,,53,,,EAST NORTH CENTRAL,20203714,
TENNESSEE,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20203742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20203703,POINT (-72.738288 41.575155)
MARYLAND,2020,37,,-,1,,,-,,-,,-,1,,4,,6,,MARYLAND,,20203733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20203735,POINT (-80.864614 33.878572)
OKLAHOMA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20203746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203765,POINT (145.725693 15.1834)
OHIO,2020,37,,-,0,,,-,,-,,-,4,,9,,13,,OHIO,,20203718,POINT (-82.70936 40.415534)
MINNESOTA,2020,37,,-,0,,,-,3,,1,,7,,64,,67,,MINNESOTA,,20203723,POINT (-94.198308 46.349153)
LOUISIANA,2020,37,,-,0,,,-,,-,,-,3,,4,,10,,LOUISIANA,,20203745,POINT (-91.840238 30.921314)
HAWAII,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20203760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,37,,-,1,,,-,,-,,-,1,,4,,6,,,SOUTH ATLANTIC,20203728,
PENNSYLVANIA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20203713,POINT (-77.838886 40.896694)
VERMONT,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20203708,POINT (-72.662695 44.075252)
KENTUCKY,2020,37,,-,0,,,-,,-,,-,1,,6,,2,,KENTUCKY,,20203740,POINT (-85.290484 37.526683)
PUERTO RICO,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20203767,POINT (-66.414655 18.215692)
MAINE,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20203704,POINT (-69.06137 45.117911)
VIRGINIA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20203736,POINT (-78.666382 37.510861)
AMERICAN SAMOA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20203764,
WISCONSIN,2020,37,,-,0,,,-,,-,,-,1,,2,,7,,WISCONSIN,,20203719,POINT (-89.732969 44.639954)
U.S. VIRGIN ISLANDS,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203768,POINT (-64.840836 18.060868)
MICHIGAN,2020,37,,-,0,,,-,2,,,-,3,,18,,33,,MICHIGAN,,20203717,POINT (-85.730977 44.874798)
GEORGIA,2020,37,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20203732,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,37,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20203712,
ARKANSAS,2020,37,,-,0,,,-,,-,,-,3,,4,,9,,ARKANSAS,,20203744,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20203741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,37,,-,0,,,-,,-,,-,0,,,-,6,,SOUTH DAKOTA,,20203727,POINT (-100.230491 44.43614)
WYOMING,2020,37,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20203756,POINT (-107.55145 42.999627)
MISSOURI,2020,37,,-,0,,,-,,-,,-,2,,10,,22,,MISSOURI,,20203724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,37,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203709,
CALIFORNIA,2020,37,,-,0,,,-,,-,4,,156,,673,,5585,,CALIFORNIA,,20203759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20203737,POINT (-80.613729 38.642579)
FLORIDA,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20203731,POINT (-82.420978 28.260731)
WEST NORTH CENTRAL,2020,37,,-,0,,,-,3,,2,,7,,86,,103,,,WEST NORTH CENTRAL,20203720,
MASSACHUSETTS,2020,37,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20203705,POINT (-71.481104 42.151077)
INDIANA,2020,37,,-,0,,,-,,-,,-,1,,2,,,-,INDIANA,,20203716,POINT (-86.2818 39.919991)
US TERRITORIES,2020,37,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203763,
TOTAL,2020,44,,-,1,,,-,7,,308,,439,,9707,,15361,,,TOTAL,20204470,
US RESIDENTS,2020,44,,-,1,,,-,6,,308,,439,,9707,,15357,,,US RESIDENTS,20204401,
NEW HAMPSHIRE,2020,44,,-,0,,,-,,-,,-,1,,1,,1,,NEW HAMPSHIRE,,20204406,POINT (-71.57139 43.680429)
NEW YORK,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20204411,POINT (-75.59655 42.921241)
PACIFIC,2020,44,,-,0,,,-,,-,31,,152,,893,,6513,,,PACIFIC,20204457,
WEST SOUTH CENTRAL,2020,44,,-,0,,,-,,-,,-,3,,8,,25,,,WEST SOUTH CENTRAL,20204443,
NEBRASKA,2020,44,,-,0,,,-,,-,,-,2,,10,,6,,NEBRASKA,,20204425,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,44,,-,0,,,-,,-,,-,1,,7,,2,,,EAST SOUTH CENTRAL,20204438,
NORTH DAKOTA,2020,44,,-,0,,,-,,-,,-,1,,3,,3,,NORTH DAKOTA,,20204426,POINT (-100.46931 47.446305)
NEVADA,2020,44,,-,0,,,-,,-,,-,5,,30,,103,,NEVADA,,20204453,POINT (-114.916992 39.283294)
ILLINOIS,2020,44,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20204415,POINT (-89.148632 40.124144)
IOWA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20204421,POINT (-93.500061 42.074659)
TEXAS,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20204447,POINT (-99.317341 31.447238)
ALASKA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20204458,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20204430,POINT (-77.016275 38.904785)
WASHINGTON,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20204462,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,44,,-,0,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20204402,
RHODE ISLAND,2020,44,,-,0,,,-,,-,,-,0,,,-,1,,RHODE ISLAND,,20204407,POINT (-71.534637 41.572574)
OREGON,2020,44,,-,0,,,-,,-,,-,2,,7,,3,,OREGON,,20204461,POINT (-120.605279 43.940449)
DELAWARE,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20204429,POINT (-75.452394 38.994926)
ALABAMA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20204439,POINT (-86.844516 32.756889)
KANSAS,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20204422,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20204434,POINT (-79.130883 35.52603)
GUAM,2020,44,,-,0,,,-,,-,,-,1,,,-,,-,GUAM,,20204466,POINT (144.653198 13.3532)
NEW JERSEY,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20204410,POINT (-74.655514 40.110253)
NEW MEXICO,2020,44,,-,0,,,-,,-,,-,4,,,-,149,,NEW MEXICO,,20204454,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,44,,-,0,,,-,3,,,-,5,,37,,63,,,EAST NORTH CENTRAL,20204414,
TENNESSEE,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20204442,POINT (-86.343226 35.842998)
CONNECTICUT,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20204403,POINT (-72.738288 41.575155)
MARYLAND,2020,44,,-,0,,,-,,-,,-,1,,4,,7,,MARYLAND,,20204433,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20204435,POINT (-80.864614 33.878572)
OKLAHOMA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20204446,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20204465,POINT (145.725693 15.1834)
OHIO,2020,44,,-,0,,,-,,-,,-,4,,12,,16,,OHIO,,20204418,POINT (-82.70936 40.415534)
MINNESOTA,2020,44,,-,0,,,-,3,,,-,6,,76,,76,,MINNESOTA,,20204423,POINT (-94.198308 46.349153)
LOUISIANA,2020,44,,-,0,,,-,,-,,-,2,,4,,16,,LOUISIANA,,20204445,POINT (-91.840238 30.921314)
HAWAII,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20204460,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,44,,-,0,,,-,,-,,-,1,,4,,7,,,SOUTH ATLANTIC,20204428,
PENNSYLVANIA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20204413,POINT (-77.838886 40.896694)
UTAH,2020,44,,-,0,,,-,,-,1,,4,,33,,58,,UTAH,,20204455,POINT (-111.678222 39.323779)
COLORADO,2020,44,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20204450,POINT (-105.547832 38.998552)
TOTAL,2020,38,,-,1,,,-,7,,242,,439,,7882,,13293,,,TOTAL,20203870,
US RESIDENTS,2020,38,,-,1,,,-,6,,242,,439,,7882,,13290,,,US RESIDENTS,20203801,
NEW HAMPSHIRE,2020,38,,-,0,,,-,,-,,-,1,,1,,1,,NEW HAMPSHIRE,,20203806,POINT (-71.57139 43.680429)
NEW YORK,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20203811,POINT (-75.59655 42.921241)
PACIFIC,2020,38,,-,0,,,-,,-,,-,155,,683,,5743,,,PACIFIC,20203857,
WEST SOUTH CENTRAL,2020,38,,-,0,,,-,,-,,-,3,,8,,19,,,WEST SOUTH CENTRAL,20203843,
NEBRASKA,2020,38,,-,0,,,-,,-,,-,2,,10,,6,,NEBRASKA,,20203825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,38,,-,0,,,-,,-,,-,1,,6,,2,,,EAST SOUTH CENTRAL,20203838,
NORTH DAKOTA,2020,38,,-,0,,,-,,-,,-,1,,2,,2,,NORTH DAKOTA,,20203826,POINT (-100.46931 47.446305)
NEVADA,2020,38,,-,0,,,-,,-,,-,5,,23,,85,,NEVADA,,20203853,POINT (-114.916992 39.283294)
ILLINOIS,2020,38,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20203815,POINT (-89.148632 40.124144)
IOWA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20203821,POINT (-93.500061 42.074659)
TEXAS,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20203847,POINT (-99.317341 31.447238)
ALASKA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20203858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20203830,POINT (-77.016275 38.904785)
WASHINGTON,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20203862,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,38,,-,0,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20203802,
RHODE ISLAND,2020,38,,-,0,,,-,,-,,-,0,,,-,1,,RHODE ISLAND,,20203807,POINT (-71.534637 41.572574)
OREGON,2020,38,,-,0,,,-,,-,,-,2,,6,,3,,OREGON,,20203861,POINT (-120.605279 43.940449)
DELAWARE,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20203829,POINT (-75.452394 38.994926)
ALABAMA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20203839,POINT (-86.844516 32.756889)
KANSAS,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20203822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20203834,POINT (-79.130883 35.52603)
GUAM,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20203866,POINT (144.653198 13.3532)
NEW JERSEY,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20203810,POINT (-74.655514 40.110253)
VERMONT,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20204408,POINT (-72.662695 44.075252)
KENTUCKY,2020,44,,-,0,,,-,,-,,-,1,,7,,2,,KENTUCKY,,20204440,POINT (-85.290484 37.526683)
PUERTO RICO,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20204467,POINT (-66.414655 18.215692)
MAINE,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20204404,POINT (-69.06137 45.117911)
VIRGINIA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20204436,POINT (-78.666382 37.510861)
ARIZONA,2020,44,,-,0,,,-,,-,276,,385,,8582,,8300,,ARIZONA,,20204449,POINT (-111.664616 34.293239)
NEW MEXICO,2020,38,,-,0,,,-,,-,,-,5,,,-,130,,NEW MEXICO,,20203854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,38,,-,0,,,-,3,,,-,5,,32,,54,,,EAST NORTH CENTRAL,20203814,
TENNESSEE,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20203842,POINT (-86.343226 35.842998)
CONNECTICUT,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20203803,POINT (-72.738288 41.575155)
MARYLAND,2020,38,,-,0,,,-,,-,,-,1,,4,,6,,MARYLAND,,20203833,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20203835,POINT (-80.864614 33.878572)
OKLAHOMA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20203846,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203865,POINT (145.725693 15.1834)
OHIO,2020,38,,-,0,,,-,,-,,-,4,,9,,14,,OHIO,,20203818,POINT (-82.70936 40.415534)
MINNESOTA,2020,38,,-,0,,,-,3,,1,,7,,68,,70,,MINNESOTA,,20203823,POINT (-94.198308 46.349153)
LOUISIANA,2020,38,,-,0,,,-,,-,,-,3,,4,,10,,LOUISIANA,,20203845,POINT (-91.840238 30.921314)
HAWAII,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20203860,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,38,,-,1,,,-,,-,,-,1,,4,,6,,,SOUTH ATLANTIC,20203828,
PENNSYLVANIA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20203813,POINT (-77.838886 40.896694)
UTAH,2020,38,,-,0,,,-,,-,,-,4,,27,,46,,UTAH,,20203855,POINT (-111.678222 39.323779)
COLORADO,2020,38,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20203850,POINT (-105.547832 38.998552)
VERMONT,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20203808,POINT (-72.662695 44.075252)
KENTUCKY,2020,38,,-,0,,,-,,-,,-,1,,6,,2,,KENTUCKY,,20203840,POINT (-85.290484 37.526683)
PUERTO RICO,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20203867,POINT (-66.414655 18.215692)
MAINE,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20203804,POINT (-69.06137 45.117911)
VIRGINIA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20203836,POINT (-78.666382 37.510861)
ARIZONA,2020,38,,-,0,,,-,,-,241,,386,,7000,,7085,,ARIZONA,,20203849,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20203864,
WISCONSIN,2020,38,,-,0,,,-,,-,,-,1,,2,,7,,WISCONSIN,,20203819,POINT (-89.732969 44.639954)
IDAHO,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20203851,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203868,POINT (-64.840836 18.060868)
MICHIGAN,2020,38,,-,0,,,-,2,,,-,3,,19,,33,,MICHIGAN,,20203817,POINT (-85.730977 44.874798)
GEORGIA,2020,38,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20203832,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20203812,
ARKANSAS,2020,38,,-,0,,,-,,-,,-,3,,4,,9,,ARKANSAS,,20203844,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20203841,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,38,,-,0,,,-,,-,,-,0,,,-,6,,SOUTH DAKOTA,,20203827,POINT (-100.230491 44.43614)
WYOMING,2020,38,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20203856,POINT (-107.55145 42.999627)
MISSOURI,2020,38,,-,0,,,-,,-,,-,2,,10,,23,,MISSOURI,,20203824,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203809,
CALIFORNIA,2020,38,,-,0,,,-,,-,,-,155,,677,,5740,,CALIFORNIA,,20203859,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20203837,POINT (-80.613729 38.642579)
FLORIDA,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20203831,POINT (-82.420978 28.260731)
MONTANA,2020,38,,-,0,,,-,,-,,-,2,,8,,10,,MONTANA,,20203852,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,38,,-,0,,,-,3,,1,,7,,90,,107,,,WEST NORTH CENTRAL,20203820,
MASSACHUSETTS,2020,38,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20203805,POINT (-71.481104 42.151077)
MOUNTAIN,2020,38,,-,1,,,-,,-,241,,387,,7058,,7357,,,MOUNTAIN,20203848,
INDIANA,2020,38,,-,0,,,-,,-,,-,1,,2,,,-,INDIANA,,20203816,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,38,,-,0,,,-,1,,,-,1,,,-,3,,,NON-US RESIDENTS,20203869,
US TERRITORIES,2020,38,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203863,
AMERICAN SAMOA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20204464,
WISCONSIN,2020,44,,-,0,,,-,,-,,-,1,,2,,11,,WISCONSIN,,20204419,POINT (-89.732969 44.639954)
IDAHO,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20204451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20204468,POINT (-64.840836 18.060868)
MICHIGAN,2020,44,,-,0,,,-,2,,,-,3,,21,,36,,MICHIGAN,,20204417,POINT (-85.730977 44.874798)
GEORGIA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20204432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20204412,
ARKANSAS,2020,44,,-,0,,,-,,-,,-,3,,4,,9,,ARKANSAS,,20204444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20204441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,44,,-,0,,,-,,-,,-,2,,,-,8,,SOUTH DAKOTA,,20204427,POINT (-100.230491 44.43614)
WYOMING,2020,44,,-,0,,,-,,-,,-,0,,,-,2,,WYOMING,,20204456,POINT (-107.55145 42.999627)
MISSOURI,2020,44,,-,0,,,-,,-,,-,2,,14,,28,,MISSOURI,,20204424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,44,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20204409,
CALIFORNIA,2020,44,,-,0,,,-,,-,31,,152,,886,,6510,,CALIFORNIA,,20204459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20204437,POINT (-80.613729 38.642579)
FLORIDA,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20204431,POINT (-82.420978 28.260731)
MONTANA,2020,44,,-,0,,,-,,-,,-,2,,9,,12,,MONTANA,,20204452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,44,,-,0,,,-,3,,,-,6,,103,,121,,,WEST NORTH CENTRAL,20204420,
MASSACHUSETTS,2020,44,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20204405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,44,,-,1,,,-,,-,277,,387,,8654,,8624,,,MOUNTAIN,20204448,
INDIANA,2020,44,,-,0,,,-,,-,,-,1,,2,,,-,INDIANA,,20204416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,44,,-,0,,,-,1,,,-,0,,,-,4,,,NON-US RESIDENTS,20204469,
US TERRITORIES,2020,44,,-,0,,,-,,-,,-,1,,,-,,-,,US TERRITORIES,20204463,
TOTAL,2020,39,,-,1,,,-,7,,289,,439,,8153,,13623,,,TOTAL,20203970,
US RESIDENTS,2020,39,,-,1,,,-,6,,289,,439,,8153,,13619,,,US RESIDENTS,20203901,
NEW HAMPSHIRE,2020,39,,-,0,,,-,,-,,-,1,,1,,1,,NEW HAMPSHIRE,,20203906,POINT (-71.57139 43.680429)
NEW YORK,2020,39,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20203911,POINT (-75.59655 42.921241)
PACIFIC,2020,39,,-,1,,,-,,-,,-,152,,692,,5869,,,PACIFIC,20203957,
WEST SOUTH CENTRAL,2020,39,,-,0,,,-,,-,,-,3,,8,,19,,,WEST SOUTH CENTRAL,20203943,
NEBRASKA,2020,39,,-,0,,,-,,-,,-,2,,10,,6,,NEBRASKA,,20203925,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,39,,-,0,,,-,,-,,-,1,,7,,2,,,EAST SOUTH CENTRAL,20203938,
NORTH DAKOTA,2020,39,,-,0,,,-,,-,,-,1,,2,,3,,NORTH DAKOTA,,20203926,POINT (-100.46931 47.446305)
NEVADA,2020,39,,-,0,,,-,,-,,-,5,,27,,85,,NEVADA,,20203953,POINT (-114.916992 39.283294)
ILLINOIS,2020,39,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20203915,POINT (-89.148632 40.124144)
