Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
SOUTH ATLANTIC,2019,39,,-,1,,,-,,-,,-,1,,6,,4,,,SOUTH ATLANTIC,20193928
DELAWARE,2019,39,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20193929
DISTRICT OF COLUMBIA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20193930
FLORIDA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20193931
GEORGIA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20193932
MARYLAND,2019,39,,-,1,,,-,,-,,-,1,,6,,4,,"MARYLAND
(38.946466, -76.687282)",,20193933
NORTH CAROLINA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20193934
SOUTH CAROLINA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20193935
VIRGINIA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20193936
WEST VIRGINIA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20193937
EAST SOUTH CENTRAL,2019,39,,-,0,,,-,,-,,-,1,,2,,,-,,EAST SOUTH CENTRAL,20193938
ALABAMA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20193939
KENTUCKY,2019,39,,-,0,,,-,,-,,-,1,,2,,,-,"KENTUCKY
(37.526683, -85.290484)",,20193940
MISSISSIPPI,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20193941
TENNESSEE,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20193942
WEST SOUTH CENTRAL,2019,39,,-,1,,,-,1,,,-,2,,11,,20,,,WEST SOUTH CENTRAL,20193943
ARKANSAS,2019,39,,-,0,,,-,,-,,-,1,,8,,5,,"ARKANSAS
(34.899825, -92.439162)",,20193944
LOUISIANA,2019,39,,-,1,,,-,1,,,-,2,,3,,15,,"LOUISIANA
(30.921314, -91.840238)",,20193945
OKLAHOMA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20193946
TEXAS,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20193947
MOUNTAIN,2019,39,,-,1,,,-,1,,202,,288,,7511,,6011,,,MOUNTAIN,20193948
ARIZONA,2019,39,,-,1,,,-,1,,202,,285,,7410,,5765,,"ARIZONA
(34.293239, -111.664616)",,20193949
COLORADO,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20193950
IDAHO,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20193951
MONTANA,2019,39,,-,0,,,-,,-,,-,2,,10,,22,,"MONTANA
(47.033521, -109.645127)",,20193952
NEVADA,2019,39,,-,0,,,-,,-,,-,5,,75,,140,,"NEVADA
(39.283294, -114.916992)",,20193953
NEW MEXICO,2019,39,,-,0,,,-,,-,,-,4,,15,,41,,"NEW MEXICO
(34.421369, -106.108388)",,20193954
UTAH,2019,39,,-,0,,,-,,-,,-,4,,,-,40,,"UTAH
(39.323779, -111.678222)",,20193955
WYOMING,2019,39,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20193956
PACIFIC,2019,39,,-,1,,,-,2,,21,,248,,5400,,5534,,,PACIFIC,20193957
ALASKA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20193958
CALIFORNIA,2019,39,,-,1,,,-,2,,21,,248,,5397,,5527,,"CALIFORNIA
(37.211164, -119.662127)",,20193959
HAWAII,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20193960
OREGON,2019,39,,-,0,,,-,,-,,-,1,,3,,7,,"OREGON
(43.940449, -120.605279)",,20193961
WASHINGTON,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20193962
US TERRITORIES,2019,39,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20193963
AMERICAN SAMOA,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20193964
NORTHERN MARIANA ISLANDS,2019,39,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20193965
GUAM,2019,39,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20193966
PUERTO RICO,2019,39,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20193967
U.S. VIRGIN ISLANDS,2019,39,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20193968
NON-US RESIDENTS,2019,39,,-,,NC,,-,,NP,,-,,NC,3,,,NP,,NON-US RESIDENTS,20193969
TOTAL,2019,39,,-,2,,2,,9,,224,,472,,13077,,11764,,,TOTAL,20193970
US RESIDENTS,2019,40,,-,2,,2,,9,,255,,472,,13397,,12043,,,US RESIDENTS,20194001
NEW ENGLAND,2019,40,,-,0,,,-,,-,,-,1,,2,,4,,,NEW ENGLAND,20194002
CONNECTICUT,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20194003
MAINE,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20194004
MASSACHUSETTS,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20194005
NEW HAMPSHIRE,2019,40,,-,0,,,-,,-,,-,1,,1,,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194006
RHODE ISLAND,2019,40,,-,0,,,-,,-,,-,1,,1,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20194007
VERMONT,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20194008
MIDDLE ATLANTIC,2019,40,,-,1,,,-,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194009
NEW JERSEY,2019,40,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20194010
NEW YORK,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194011
NEW YORK CITY,2019,40,,-,1,,,-,2,,,N,,NC,,N,,N,,NEW YORK CITY,20194012
PENNSYLVANIA,2019,40,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194013
EAST NORTH CENTRAL,2019,40,,-,1,,2,,1,,,-,4,,43,,78,,,EAST NORTH CENTRAL,20194014
ILLINOIS,2019,40,,-,1,,1,,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20194015
INDIANA,2019,40,,-,0,,,-,,-,,-,1,,,-,6,,"INDIANA
(39.919991, -86.2818)",,20194016
MICHIGAN,2019,40,,-,1,,1,,1,,,-,4,,27,,31,,"MICHIGAN
(44.874798, -85.730977)",,20194017
OHIO,2019,40,,-,0,,,-,,-,,-,3,,14,,20,,"OHIO
(40.415534, -82.70936)",,20194018
WISCONSIN,2019,40,,-,0,,,-,,-,,-,2,,2,,21,,"WISCONSIN
(44.639954, -89.732969)",,20194019
WEST NORTH CENTRAL,2019,40,,-,0,,,-,,-,2,,7,,102,,119,,,WEST NORTH CENTRAL,20194020
IOWA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20194021
KANSAS,2019,40,,-,0,,,-,,-,,-,1,,,-,5,,"KANSAS
(38.484729, -98.38018)",,20194022
MINNESOTA,2019,40,,-,0,,,-,,-,2,,5,,71,,82,,"MINNESOTA
(46.349153, -94.198308)",,20194023
MISSOURI,2019,40,,-,0,,,-,,-,,-,2,,17,,25,,"MISSOURI
(38.3675, -92.477244)",,20194024
NEBRASKA,2019,40,,-,0,,,-,,-,,-,1,,6,,6,,"NEBRASKA
(41.527099, -99.810595)",,20194025
NORTH DAKOTA,2019,40,,-,0,,,-,,-,,-,1,,2,,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20194026
SOUTH DAKOTA,2019,40,,-,0,,,-,,-,,-,1,,6,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194027
SOUTH ATLANTIC,2019,40,,-,1,,,-,,-,,-,1,,6,,4,,,SOUTH ATLANTIC,20194028
DELAWARE,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194029
DISTRICT OF COLUMBIA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194030
FLORIDA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20194031
GEORGIA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20194032
MARYLAND,2019,40,,-,1,,,-,,-,,-,1,,6,,4,,"MARYLAND
(38.946466, -76.687282)",,20194033
NORTH CAROLINA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20194034
SOUTH CAROLINA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194035
VIRGINIA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20194036
WEST VIRGINIA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20194037
EAST SOUTH CENTRAL,2019,40,,-,0,,,-,,-,,-,1,,2,,,-,,EAST SOUTH CENTRAL,20194038
ALABAMA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194039
KENTUCKY,2019,40,,-,0,,,-,,-,,-,1,,2,,,-,"KENTUCKY
(37.526683, -85.290484)",,20194040
MISSISSIPPI,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20194041
TENNESSEE,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20194042
WEST SOUTH CENTRAL,2019,40,,-,1,,,-,1,,,-,2,,12,,20,,,WEST SOUTH CENTRAL,20194043
ARKANSAS,2019,40,,-,0,,,-,,-,,-,1,,9,,5,,"ARKANSAS
(34.899825, -92.439162)",,20194044
LOUISIANA,2019,40,,-,1,,,-,1,,,-,2,,3,,15,,"LOUISIANA
(30.921314, -91.840238)",,20194045
OKLAHOMA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20194046
TEXAS,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20194047
MOUNTAIN,2019,40,,-,1,,,-,1,,220,,289,,7723,,6143,,,MOUNTAIN,20194048
ARIZONA,2019,40,,-,1,,,-,1,,220,,285,,7609,,5893,,"ARIZONA
(34.293239, -111.664616)",,20194049
COLORADO,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20194050
IDAHO,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20194051
MONTANA,2019,40,,-,0,,,-,,-,,-,2,,10,,22,,"MONTANA
(47.033521, -109.645127)",,20194052
NEVADA,2019,40,,-,0,,,-,,-,,-,6,,77,,142,,"NEVADA
(39.283294, -114.916992)",,20194053
NEW MEXICO,2019,40,,-,0,,,-,,-,,-,4,,26,,43,,"NEW MEXICO
(34.421369, -106.108388)",,20194054
UTAH,2019,40,,-,0,,,-,,-,,-,4,,,-,40,,"UTAH
(39.323779, -111.678222)",,20194055
WYOMING,2019,40,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20194056
PACIFIC,2019,40,,-,1,,,-,2,,33,,248,,5507,,5675,,,PACIFIC,20194057
ALASKA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20194058
CALIFORNIA,2019,40,,-,1,,,-,2,,33,,248,,5504,,5668,,"CALIFORNIA
(37.211164, -119.662127)",,20194059
HAWAII,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20194060
OREGON,2019,40,,-,0,,,-,,-,,-,1,,3,,7,,"OREGON
(43.940449, -120.605279)",,20194061
WASHINGTON,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20194062
US TERRITORIES,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194063
AMERICAN SAMOA,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20194064
NORTHERN MARIANA ISLANDS,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194065
GUAM,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194066
PUERTO RICO,2019,40,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20194067
U.S. VIRGIN ISLANDS,2019,40,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194068
NON-US RESIDENTS,2019,40,,-,,NC,,-,,NP,,-,,NC,3,,,NP,,NON-US RESIDENTS,20194069
TOTAL,2019,40,,-,2,,2,,9,,255,,472,,13400,,12043,,,TOTAL,20194070
US RESIDENTS,2019,41,,-,2,,2,,10,,262,,473,,13775,,12350,,,US RESIDENTS,20194101
NEW ENGLAND,2019,41,,-,0,,,-,,-,,-,1,,2,,4,,,NEW ENGLAND,20194102
CONNECTICUT,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20194103
MAINE,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20194104
MASSACHUSETTS,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20194105
NEW HAMPSHIRE,2019,41,,-,0,,,-,,-,,-,1,,1,,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194106
RHODE ISLAND,2019,41,,-,0,,,-,,-,,-,1,,1,,3,,"RHODE ISLAND
(41.572574, -71.534637)",,20194107
VERMONT,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20194108
MIDDLE ATLANTIC,2019,41,,-,1,,,-,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194109
NEW JERSEY,2019,41,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20194110
NEW YORK,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194111
NEW YORK CITY,2019,41,,-,1,,,-,2,,,N,,NC,,N,,N,,NEW YORK CITY,20194112
PENNSYLVANIA,2019,41,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194113
EAST NORTH CENTRAL,2019,41,,-,1,,2,,1,,,-,4,,44,,79,,,EAST NORTH CENTRAL,20194114
ILLINOIS,2019,41,,-,1,,1,,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20194115
INDIANA,2019,41,,-,0,,,-,,-,,-,1,,,-,7,,"INDIANA
(39.919991, -86.2818)",,20194116
MICHIGAN,2019,41,,-,1,,1,,1,,,-,4,,28,,31,,"MICHIGAN
(44.874798, -85.730977)",,20194117
OHIO,2019,41,,-,0,,,-,,-,,-,3,,14,,20,,"OHIO
(40.415534, -82.70936)",,20194118
WISCONSIN,2019,41,,-,0,,,-,,-,,-,2,,2,,21,,"WISCONSIN
(44.639954, -89.732969)",,20194119
WEST NORTH CENTRAL,2019,41,,-,0,,,-,,-,1,,7,,107,,120,,,WEST NORTH CENTRAL,20194120
IOWA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20194121
KANSAS,2019,41,,-,0,,,-,,-,,-,1,,,-,5,,"KANSAS
(38.484729, -98.38018)",,20194122
MINNESOTA,2019,41,,-,0,,,-,,-,1,,5,,73,,82,,"MINNESOTA
(46.349153, -94.198308)",,20194123
MISSOURI,2019,41,,-,0,,,-,,-,,-,2,,20,,26,,"MISSOURI
(38.3675, -92.477244)",,20194124
NEBRASKA,2019,41,,-,0,,,-,,-,,-,1,,6,,6,,"NEBRASKA
(41.527099, -99.810595)",,20194125
NORTH DAKOTA,2019,41,,-,0,,,-,,-,,-,1,,2,,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20194126
SOUTH DAKOTA,2019,41,,-,0,,,-,,-,,-,1,,6,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194127
SOUTH ATLANTIC,2019,41,,-,1,,,-,,-,,-,1,,6,,4,,,SOUTH ATLANTIC,20194128
DELAWARE,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194129
DISTRICT OF COLUMBIA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194130
FLORIDA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20194131
GEORGIA,2019,41,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20194132
MARYLAND,2019,41,,-,1,,,-,,-,,-,1,,6,,4,,"MARYLAND
(38.946466, -76.687282)",,20194133
NORTH CAROLINA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20194134
SOUTH CAROLINA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20194135
VIRGINIA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20194136
WEST VIRGINIA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20194137
EAST SOUTH CENTRAL,2019,41,,-,0,,,-,,-,,-,1,,2,,,-,,EAST SOUTH CENTRAL,20194138
ALABAMA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20194139
KENTUCKY,2019,41,,-,0,,,-,,-,,-,1,,2,,,-,"KENTUCKY
(37.526683, -85.290484)",,20194140
MISSISSIPPI,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20194141
TENNESSEE,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20194142
WEST SOUTH CENTRAL,2019,41,,-,1,,,-,1,,3,,2,,15,,20,,,WEST SOUTH CENTRAL,20194143
ARKANSAS,2019,41,,-,0,,,-,,-,,-,1,,9,,5,,"ARKANSAS
(34.899825, -92.439162)",,20194144
LOUISIANA,2019,41,,-,1,,,-,1,,3,,2,,6,,15,,"LOUISIANA
(30.921314, -91.840238)",,20194145
OKLAHOMA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20194146
TEXAS,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20194147
MOUNTAIN,2019,41,,-,1,,,-,2,,216,,290,,7966,,6284,,,MOUNTAIN,20194148
ARIZONA,2019,41,,-,1,,,-,2,,216,,285,,7817,,6026,,"ARIZONA
(34.293239, -111.664616)",,20194149
COLORADO,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20194150
IDAHO,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20194151
MONTANA,2019,41,,-,0,,,-,,-,,-,2,,10,,24,,"MONTANA
(47.033521, -109.645127)",,20194152
NEVADA,2019,41,,-,0,,,-,,-,,-,6,,77,,143,,"NEVADA
(39.283294, -114.916992)",,20194153
NEW MEXICO,2019,41,,-,0,,,-,,-,,-,4,,61,,47,,"NEW MEXICO
(34.421369, -106.108388)",,20194154
UTAH,2019,41,,-,0,,,-,,-,,-,4,,,-,41,,"UTAH
(39.323779, -111.678222)",,20194155
WYOMING,2019,41,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20194156
PACIFIC,2019,41,,-,1,,,-,2,,42,,248,,5633,,5839,,,PACIFIC,20194157
ALASKA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20194158
CALIFORNIA,2019,41,,-,1,,,-,2,,42,,248,,5630,,5832,,"CALIFORNIA
(37.211164, -119.662127)",,20194159
HAWAII,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20194160
OREGON,2019,41,,-,0,,,-,,-,,-,1,,3,,7,,"OREGON
(43.940449, -120.605279)",,20194161
WASHINGTON,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20194162
US TERRITORIES,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20194163
AMERICAN SAMOA,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20194164
NORTHERN MARIANA ISLANDS,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20194165
GUAM,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20194166
PUERTO RICO,2019,41,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20194167
U.S. VIRGIN ISLANDS,2019,41,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20194168
NON-US RESIDENTS,2019,41,,-,,NC,,-,,NP,,-,,NC,3,,,NP,,NON-US RESIDENTS,20194169
TOTAL,2019,41,,-,2,,2,,10,,262,,473,,13778,,12350,,,TOTAL,20194170
US RESIDENTS,2019,42,,-,2,,2,,10,,262,,473,,14115,,12657,,,US RESIDENTS,20194201
NEW ENGLAND,2019,42,,-,0,,,-,,-,,-,1,,2,,5,,,NEW ENGLAND,20194202
CONNECTICUT,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20194203
MAINE,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20194204
MASSACHUSETTS,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20194205
NEW HAMPSHIRE,2019,42,,-,0,,,-,,-,,-,1,,1,,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20194206
RHODE ISLAND,2019,42,,-,0,,,-,,-,,-,1,,1,,4,,"RHODE ISLAND
(41.572574, -71.534637)",,20194207
VERMONT,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20194208
MIDDLE ATLANTIC,2019,42,,-,1,,,-,4,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20194209
NEW JERSEY,2019,42,,-,1,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20194210
NEW YORK,2019,42,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20194211
NEW YORK CITY,2019,42,,-,1,,,-,2,,,N,,NC,,N,,N,,NEW YORK CITY,20194212
PENNSYLVANIA,2019,42,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20194213
EAST NORTH CENTRAL,2019,42,,-,1,,2,,1,,1,,4,,45,,81,,,EAST NORTH CENTRAL,20194214
ILLINOIS,2019,42,,-,1,,1,,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20194215
INDIANA,2019,42,,-,0,,,-,,-,,-,0,,,-,7,,"INDIANA
(39.919991, -86.2818)",,20194216
MICHIGAN,2019,42,,-,1,,1,,1,,,-,4,,28,,32,,"MICHIGAN
(44.874798, -85.730977)",,20194217
OHIO,2019,42,,-,0,,,-,,-,1,,3,,15,,21,,"OHIO
(40.415534, -82.70936)",,20194218
WISCONSIN,2019,42,,-,0,,,-,,-,,-,2,,2,,21,,"WISCONSIN
(44.639954, -89.732969)",,20194219
WEST NORTH CENTRAL,2019,42,,-,0,,,-,,-,,-,7,,108,,125,,,WEST NORTH CENTRAL,20194220
IOWA,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20194221
KANSAS,2019,42,,-,0,,,-,,-,,-,1,,,-,5,,"KANSAS
(38.484729, -98.38018)",,20194222
MINNESOTA,2019,42,,-,0,,,-,,-,,-,5,,73,,87,,"MINNESOTA
(46.349153, -94.198308)",,20194223
MISSOURI,2019,42,,-,0,,,-,,-,,-,2,,21,,26,,"MISSOURI
(38.3675, -92.477244)",,20194224
NEBRASKA,2019,42,,-,0,,,-,,-,,-,1,,6,,6,,"NEBRASKA
(41.527099, -99.810595)",,20194225
NORTH DAKOTA,2019,42,,-,0,,,-,,-,,-,1,,2,,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20194226
SOUTH DAKOTA,2019,42,,-,0,,,-,,-,,-,1,,6,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20194227
SOUTH ATLANTIC,2019,42,,-,1,,,-,,-,,-,1,,6,,4,,,SOUTH ATLANTIC,20194228
DELAWARE,2019,42,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20194229
DISTRICT OF COLUMBIA,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20194230
FLORIDA,2019,42,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20194231
GEORGIA,2019,42,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20194232
